SKU,Description,Category,ABC,XYZ,Scenario,Avg_Daily_Demand,Avg_Lead_Time,Safety_Stock,ROL,Target_Stock,Inventory_Position,Days_Cover,EOQ,Inventory_Health,Inventory_Value,Risk,Action,Recommended_Order
DRG02419,INFANRIX HEXA VACCINE 0.5ML - GSK,Drug,A,X,Stable,6.0,0.0,0,0,180,7,1.2,0,999,18824.0,Overstock,HOLD,0
DRG02178,PENTAXIM 0.5ML PFS VACCINE - SANOFI,Drug,A,X,Stable,2.0,0.0,0,0,60,5,2.5,0,999,13524.0,Overstock,HOLD,0
DRG03346,R-HUCOG 6500IU INJECTION - BHARAT SERUMS,Drug,B,X,Stable,6.0,0.0,0,0,180,3,0.5,0,999,2700.0,Overstock,HOLD,0
DRG03901,TETRAXIM VACCINE - SANOFI,Drug,B,X,Stable,2.0,0.0,0,0,60,10,5.0,0,999,20076.0,Overstock,HOLD,0
DRG04397,ROTAVAC 5D PFS INJECTION - BHARAT BIOTECH,Drug,C,X,Stable,4.0,0.0,0,0,120,20,5.0,0,999,9714.0,Overstock,HOLD,0
DRG02549,RABISHIELD 100IU INJECTION 2.5ML - SERUM INSTITUTE,Drug,C,X,Stable,1.0,0.0,0,0,30,10,10.0,0,999,15094.0,Overstock,HOLD,0
DRG01876,TYPBAR-TCV INJECTION - BHARAT BIOTECH,Drug,C,X,Stable,1.0,0.0,0,0,30,10,10.0,0,999,8592.0,Overstock,HOLD,0
DRG01444,HUCOG-HP 5000IU INJECTION - BHARAT SERUM(AR),Drug,C,X,Stable,2.0,0.0,0,0,60,5,2.5,0,999,1455.0,Overstock,HOLD,0
DRG04206,NEXPRO HP KIT 1X6 - TORRENT PHARMACEUTICALS LTD,Drug,C,X,Stable,6.0,0.0,0,0,180,6,1.0,15,999,158.0,Overstock,HOLD,0
DRG05624,CANDIFORCE 200MG CAPSULE 1X10 - MANKIND,Drug,C,X,Stable,3.0,0.0,0,0,90,3,1.0,39,999,41.0,Overstock,HOLD,0
